acousticness,danceability,energy,valence,instrumentalness,loudness,tempo,popularity,key,mode,duration_ms,speechiness,liveness,explicit,year
0.073,0.577,0.864,0.906,0,-5.867,119.422,52,5,1,135742,0.134,0.23,0,2000
0.062,0.622,0.75,0.905,0,-6.367,141.324,56,9,0,197973,0.044,0.127,0,2000
0.292,0.386,0.448,0.09,0,-7.746,129.525,57,9,1,444331,0.032,0.623,0,2000
0.577,0.734,0.268,0.666,0,-12.876,132.556,54,9,0,321000,0.065,0.163,0,2000
0.24,0.421,0.946,0.848,0.003,-5.101,169.712,56,2,1,185000,0.077,0.504,0,2000
0.48,0.86,0.762,0.903,0,-4.44,100.179,54,4,1,292400,0.053,0.091,0,2000
0.001,0.664,0.877,0.961,0,-4.251,146.804,61,2,1,220947,0.033,0.284,1,2000
0.001,0.869,0.463,0.607,0,-12.582,133.172,1,9,1,294627,0.496,0.216,0,2000
0.024,0.673,0.887,0.726,0,-3.873,92.553,53,6,0,196733,0.255,0.065,1,2000
0.045,0.589,0.884,0.439,0,-4.918,90.036,56,7,1,382827,0.324,0.09,1,2000
0.354,0.658,0.434,0.218,0,-8.527,83.921,49,1,1,232640,0.025,0.112,0,2000
0.377,0.856,0.664,0.967,0,-4.635,105.416,53,10,1,225133,0.031,0.102,0,2000
0.024,0.309,0.673,0.073,0,-5.524,147.599,58,1,0,318773,0.032,0.064,0,2000
0.507,0.581,0.821,0.968,0,-4.387,136.145,57,0,1,116160,0.032,0.108,0,2000
0.265,0.636,0.677,0.837,0,-5.605,138.707,55,9,1,163320,0.032,0.215,0,2000
0.458,0.897,0.306,0.96,0,-10.546,142.017,49,4,1,86000,0.043,0.076,0,2000
0.947,0.29,0.062,0.195,0.842,-20.112,71.608,50,5,1,223413,0.033,0.122,0,2000
0.022,0.618,0.929,0.672,0,-3.238,79.864,53,2,0,254773,0.273,0.326,1,2000
0.03,0.697,0.514,0.449,0.535,-8.626,136.071,59,8,1,393640,0.029,0.212,0,2000
0.002,0.412,0.838,0.483,0.003,-1.93,86.604,54,9,1,394400,0.043,0.152,0,2000
0.086,0.822,0.847,0.667,0,-6.729,107.906,55,10,0,202800,0.092,0.045,0,2000
0.233,0.825,0.66,0.699,0,-6.977,93.914,50,9,1,277440,0.327,0.092,1,2000
0.711,0.54,0.301,0.57,0,-10.154,124.635,54,2,1,130600,0.052,0.261,0,2000
0.022,0.557,0.834,0.659,0,-4.371,137.69,55,8,1,192360,0.034,0.329,0,2000
0.005,0.651,0.892,0.962,0,-6.551,135.309,56,4,1,179480,0.031,0.127,0,2000
0.096,0.679,0.592,0.55,0.014,-5.963,113.265,56,9,1,180520,0.04,0.16,0,2000
0.156,0.304,0.001,0.876,0.452,-10.458,101.639,0,7,1,832080,0.037,0.103,0,2000
0.404,0.524,0.88,0.758,0,-3.865,148.058,56,0,1,140173,0.099,0.154,0,2000
0.416,0.385,0.342,0.131,0,-7.749,132.864,65,2,1,308933,0.029,0.119,0,2000
0.02,0.818,0.883,0.405,0.001,-4.547,93.67,51,0,1,250173,0.07,0.243,0,2000
0.363,0.659,0.468,0.37,0,-7.439,99.066,49,8,1,257400,0.023,0.096,0,2000
0.098,0.492,0.593,0.329,0,-5.975,144.134,69,0,1,231760,0.025,0.257,0,2000
0.586,0.698,0.675,0.899,0,-10.201,115.184,53,9,1,209773,0.051,0.125,1,2000
0.018,0.552,0.842,0.561,0.003,-4.961,89.017,47,8,1,281960,0.285,0.258,1,2000
0.118,0.426,0.76,0.955,0,-4.082,171.838,55,0,1,131213,0.041,0.325,0,2000
0.211,0.92,0.861,0.718,0,-5.435,97.969,51,7,1,211400,0.218,0.029,0,2000
0.501,0.772,0.451,0.558,0.7,-12.242,96.086,60,0,1,380498,0.055,0.213,0,2000
0.128,0.726,0.855,0.884,0,-7.53,104.002,64,1,0,224640,0.031,0.68,0,2000
0.001,0.218,0.921,0.612,0,-4.414,196.291,55,7,1,166733,0.06,0.078,1,2000
0.18,0.893,0.514,0.787,0,-5.08,95.848,57,11,1,219160,0.283,0.06,1,2000
0.991,0.53,0.114,0.369,0.902,-18.069,92.249,49,7,1,282200,0.048,0.137,0,2000
0.263,0.512,0.455,0.135,0,-4.551,106.006,48,7,1,294533,0.025,0.157,0,2000
0.302,0.449,0.375,0.466,0,-9.329,133.845,53,0,1,181413,0.029,0.144,0,2000
0.06,0.559,0.343,0.183,0.138,-13.072,164.53,53,9,0,258693,0.042,0.1,0,2000
0.059,0.846,0.687,0.744,0,-6.424,101.842,46,7,1,290133,0.061,0.042,0,2000
0.055,0.586,0.514,0.334,0,-5.772,160.094,46,4,1,329600,0.028,0.202,0,2000
0.214,0.842,0.858,0.736,0,-3.731,90.312,56,10,0,239413,0.253,0.475,1,2000
0.675,0.447,0.457,0.59,0,-10.969,112.918,45,4,1,231493,0.033,0.339,0,2000
0.798,0.544,0.36,0.763,0.005,-11.862,153.206,49,4,1,222867,0.029,0.112,0,2000
0.035,0.731,0.881,0.908,0.467,-6.746,155.819,47,4,0,214893,0.041,0.116,0,2000
0,0.349,0.931,0.843,0.001,-6.016,142.956,49,1,1,189707,0.086,0.104,1,2000
0.436,0.66,0.406,0.447,0,-13.341,137.635,52,1,0,418493,0.043,0.197,0,2000
0.19,0.571,0.875,0.773,0,-6.795,116.141,46,0,1,255800,0.033,0.303,0,2000
0.13,0.607,0.904,0.877,0,-7.693,146.831,46,2,1,178840,0.043,0.134,0,2000
0.076,0.544,0.791,0.418,0.01,-4.788,110.754,49,1,1,216000,0.035,0.719,0,2000
0.049,0.684,0.905,0.924,0,-6.058,122.085,46,5,0,247600,0.036,0.302,0,2000
0.874,0.355,0.531,0.396,0.111,-5.603,72.563,55,5,1,190893,0.031,0.123,0,2000
